loan_reference,borrower_nrc,loan_product_name,amount,custom_interest_rate,application_date,loan_purpose,branch_name,loan_status,approval_date,amount_type,monthly_amount
JUTEM-01894,1000539/00/1,Business Micro Loan,2000,25.0,2022-04-01,Business,Lusaka,6,2022-04-01,,2000
JUTEM-01895,1000539/00/1,Business Micro Loan,14000,25.0,2022-05-01,Business,Lusaka,5,2022-05-01,,2000
JUTEM-01896,1000539/00/1,Business Micro Loan,2000,25.0,2022-05-01,Business,Lusaka,6,2022-05-01,,2000
JUTEM-01897,1000539/00/1,Business Micro Loan,2000,20.0,2023-10-01,Business,Lusaka,6,2023-10-01,,2000
JUTEM-01898,1000539/00/1,Business Micro Loan,7600,20.0,2023-11-01,Business,Lusaka,5,2023-11-01,,1900
JUTEM-01899,1000540/00/1,Business Micro Loan,1900,20.0,2023-12-01,Business,Lusaka,6,2023-12-01,,1900
JUTEM-01900,1000541/00/1,Business Micro Loan,20000,19.0,2025-04-01,Business,Lusaka,6,2025-04-01,,20000
JUTEM-01901,1000541/00/1,Business Micro Loan,12000,20.0,2025-06-01,Business,Lusaka,6,2025-06-01,,12000
JUTEM-01902,1000541/00/1,Business Micro Loan,3500,20.0,2025-06-01,Business,Lusaka,6,2025-06-01,,3500
JUTEM-01903,1000541/00/1,Business Micro Loan,10000,19.0,2025-10-01,Business,Lusaka,6,2025-10-01,,10000
JUTEM-01904,1000541/00/1,Business Micro Loan,180000,13.0,2025-12-01,Business,Lusaka,6,2025-12-01,,180000
JUTEM-01905,1000541/00/1,Business Micro Loan,225000,27.0,2026-01-01,Business,Lusaka,6,2026-01-01,,225000
JUTEM-01906,1000541/00/1,Business Micro Loan,9150,10.0,2026-02-01,Business,Lusaka,6,2026-02-01,,9150
JUTEM-01907,1000541/00/1,Business Micro Loan,180000,27.0,2026-03-01,Business,Lusaka,5,2026-03-01,,180000
JUTEM-01908,1000541/00/1,Business Micro Loan,52500,18.0,2026-03-01,Business,Lusaka,5,2026-03-01,,52500
JUTEM-01909,1000542/00/1,Business Micro Loan,500000,30.0,2025-09-01,Business,Lusaka,6,2025-09-01,,500000
JUTEM-01910,1000542/00/1,Business Micro Loan,400000,30.0,2025-11-01,Business,Lusaka,6,2025-11-01,,400000
JUTEM-01911,1000542/00/1,Business Micro Loan,1500000,30.0,2026-01-01,Business,Lusaka,6,2026-01-01,,1500000
JUTEM-01912,1000542/00/1,Business Micro Loan,120000,16.0,2026-02-01,Business,Lusaka,5,2026-02-01,,120000
JUTEM-01913,1000542/00/1,Business Micro Loan,1500000,30.0,2026-03-01,Business,Lusaka,5,2026-03-01,,1500000
JUTEM-01914,1000543/00/1,Business Micro Loan,30000,2.67,2022-03-01,Business,Lusaka,6,2022-03-01,,30000
JUTEM-01915,1000543/00/1,Business Micro Loan,60000,18.0,2022-06-01,Business,Lusaka,6,2022-06-01,,30000
JUTEM-01916,1000543/00/1,Business Micro Loan,10000,7.0,2023-03-01,Business,Lusaka,6,2023-03-01,,10000
JUTEM-01917,1000543/00/1,Business Micro Loan,100000,20.0,2023-11-01,Business,Lusaka,6,2023-11-01,,100000
JUTEM-01918,1000543/00/1,Business Micro Loan,50000,5.0,2024-07-01,Business,Lusaka,6,2024-07-01,,50000
JUTEM-01919,1000544/00/1,Business Micro Loan,1000000.02,37.7,2024-10-01,Business,Lusaka,6,2024-10-01,,166666.67
JUTEM-01920,1000544/00/1,Business Micro Loan,90000,18.0,2026-01-01,Business,Lusaka,6,2026-01-01,,90000
JUTEM-01921,1000544/00/1,Business Micro Loan,27000,16.0,2026-02-01,Business,Lusaka,6,2026-02-01,,27000
JUTEM-01922,1000545/00/1,Business Micro Loan,40000,20.0,2025-06-01,Business,Lusaka,6,2025-06-01,,20000
JUTEM-01923,1000545/00/1,Business Micro Loan,6500,20.0,2025-07-01,Business,Lusaka,6,2025-07-01,,6500
JUTEM-01924,1000545/00/1,Business Micro Loan,40000,20.0,2025-08-01,Business,Lusaka,6,2025-08-01,,20000
JUTEM-01925,1000545/00/1,Business Micro Loan,3000,23.0,2025-10-01,Business,Lusaka,6,2025-10-01,,3000
JUTEM-01926,1000545/00/1,Business Micro Loan,7000,20.0,2025-10-01,Business,Lusaka,6,2025-10-01,,3500
JUTEM-01927,1000545/00/1,Business Micro Loan,2000,20.0,2025-12-01,Business,Lusaka,6,2025-12-01,,2000
JUTEM-01928,1000545/00/1,Business Micro Loan,7000,20.0,2025-12-01,Business,Lusaka,6,2025-12-01,,7000
JUTEM-01929,1000545/00/1,Business Micro Loan,9000,20.0,2025-12-01,Business,Lusaka,6,2025-12-01,,4500
JUTEM-01930,1000545/00/1,Business Micro Loan,4500,20.0,2026-01-01,Business,Lusaka,6,2026-01-01,,4500
JUTEM-01931,1000545/00/1,Business Micro Loan,5000,30.0,2026-02-01,Business,Lusaka,6,2026-02-01,,5000
JUTEM-01932,1000545/00/1,Business Micro Loan,5000,30.0,2026-03-01,Business,Lusaka,5,2026-03-01,,5000
JUTEM-01933,1000546/00/1,Business Micro Loan,50000,48.0,2022-03-01,Business,Lusaka,6,2022-03-01,,50000
JUTEM-01934,1000546/00/1,Business Micro Loan,200000,35.0,2022-08-01,Business,Lusaka,6,2022-08-01,,100000
JUTEM-01935,1000546/00/1,Business Micro Loan,100000,21.0,2022-10-01,Business,Lusaka,6,2022-10-01,,100000
JUTEM-01936,1000546/00/1,Business Micro Loan,100000,35.0,2022-12-01,Business,Lusaka,6,2022-12-01,,100000
JUTEM-01937,1000547/00/1,Business Micro Loan,10000,25.0,2021-10-01,Business,Lusaka,6,2021-10-01,,10000
JUTEM-01938,1000547/00/1,Business Micro Loan,50000,35.0,2022-05-01,Business,Lusaka,6,2022-05-01,,50000
JUTEM-01939,1000547/00/1,Business Micro Loan,100000,21.0,2022-09-01,Business,Lusaka,6,2022-09-01,,100000
